指标,sigma_训练集,sigma_验证集,epsilon_训练集,epsilon_验证集
RMSE,0.0018,0.0019,0.4664,0.5184
MAE,0.0008,0.0008,0.4062,0.4498
R²,0.9968,0.9959,0.8308,0.7804
