True_Value,Predicted_Value,Set
3.5588,4.810643649707808,Train
14.2926,13.884535276968151,Train
2.4108,3.3908539006653005,Train
15.6702,16.959143268189422,Train
-0.5166,-0.1314695905726202,Train
7.3472,5.092312766859244,Train
11.3652,12.253365339867418,Train
20.8362,18.748033179830813,Train
10.906,10.310514323169492,Train
-10.7338,-9.463917796936155,Train
5.9696,2.117245736923098,Train
14.35,17.6238102717418,Train
-5.9696,-4.125085960759796,Train
-0.1148,-0.5379910539538084,Train
11.8818,12.841492677554115,Train
4.592,4.854611592837461,Train
-1.9516,-3.7988722880634818,Train
11.5374,11.686819404629114,Train
15.8998,15.244296848516703,Train
2.2386,0.5625839343959402,Train
17.2774,17.08629251557633,Train
12.5132,13.142589186330191,Train
9.6432,10.62976997228726,Train
11.9392,13.185684267111284,Train
-4.4198,6.629743424166466,Train
10.3894,8.544571720145989,Train
17.0478,15.234483031261751,Train
7.2324,7.825792229052468,Train
12.628,12.275444677774738,Train
1.0906,-1.682075377352385,Train
13.202,13.645274741129525,Train
-2.583,-2.270592631052182,Train
-2.1812,-1.9984104763612613,Train
5.5104,4.402871652178276,Train
6.888,6.951504134659128,Train
11.9392,12.331448288722477,Train
-18.4254,-9.48769160789125,Train
8.7248,8.830618160365676,Train
14.35,12.327934114502671,Train
-1.0906,1.65774893404204,Train
11.2504,10.331789242328497,Train
8.5526,7.046136526011622,Train
6.4288,7.621058656177317,Train
-11.4226,-9.264979346172133,Train
11.8818,11.614576687224398,Train
-11.3078,-8.086259240627792,Train
-2.9274,0.4297148057281168,Train
3.7884,4.3678713645145795,Train
-1.7794,-1.9800760756724785,Train
17.9662,16.27723222548797,Train
10.1598,11.199716591151525,Train
-0.287,-0.9454232863949201,Train
9.184,8.771268889895222,Train
2.3534,2.078748424210345,Train
12.1688,11.27657414930517,Train
14.4074,14.077106025969432,Train
11.9392,11.664813950139743,Train
-3.8458,-3.6539537019798374,Train
11.767,10.789329027791233,Train
-0.7462,0.6855160854286391,Train
11.767,10.789329027791233,Train
9.3562,10.002985829610173,Train
1.3776,0.18030174476315608,Train
13.0872,13.973094330594943,Train
13.3168,13.211177050617913,Train
-12.1688,-6.415779349357642,Train
2.8126,3.657757069161107,Train
15.0388,14.848957194803486,Train
-0.0574,-2.4934642385223995,Train
21.1232,19.94763035779227,Train
16.1294,11.787823718026035,Train
-11.8244,-7.856076352900233,Train
-0.287,0.321154024431328,Train
2.6978,2.420094374336859,Train
13.1446,12.189789001272885,Train
-2.1238,-0.6453942302559383,Train
-10.1024,-9.615947433846681,Train
12.2262,10.840175178239647,Train
18.5402,18.841664921001907,Train
-3.7884,-10.408844125659275,Train
10.332,9.473058106199796,Train
8.323,11.052181518170856,Train
4.7642,3.159897768323912,Train
12.915,9.798304136866824,Train
2.87,3.7038150623911994,Train
-6.3714,-5.4816519440247085,Train
-11.5374,5.212816679966004,Train
7.2898,8.782082065800221,Train
1.7794,1.181405648498723,Train
9.184,9.524123631094866,Train
9.3562,10.002985829610173,Train
1.435,2.852035209756658,Train
15.211,11.406989138460148,Train
7.5194,6.85973598369647,Train
7.2324,7.490311042320874,Train
14.1204,15.5187081719247,Train
0.861,2.6525329520731873,Train
0.6314,0.18586588928399905,Train
-11.8818,-9.351225133017145,Train
-1.148,-0.13469411848359059,Train
17.8514,14.91777391391295,Train
8.4378,8.015490117734046,Train
7.749,4.477300204261647,Train
4.8216,6.6105692513103005,Train
8.4378,7.78031666916714,Train
5.5678,2.8245061720988867,Train
