True_Value,Predicted_Value,Set
3.5588,3.7274946426180158,Train
14.2926,14.275426943544831,Train
2.4108,2.6923533318746364,Train
15.6702,15.770186554547134,Train
-0.5166,-0.3844099576016618,Train
7.3472,7.422619903501435,Train
11.3652,11.489482060829088,Train
20.8362,20.77223386902452,Train
10.906,10.945439241635732,Train
-10.7338,-10.596233233726629,Train
5.9696,5.942501692549608,Train
14.35,14.344871980019912,Train
-5.9696,-5.856767319232648,Train
-0.1148,-0.1488031342943759,Train
11.8818,11.9335394276538,Train
4.592,4.670293118230672,Train
-1.9516,-2.044226872915017,Train
11.5374,11.524362846550504,Train
15.8998,15.904501657006733,Train
2.2386,2.2728853875645068,Train
17.2774,17.317408335081236,Train
12.5132,12.498816920060188,Train
9.6432,9.630419524777247,Train
11.9392,11.950716093504406,Train
-4.4198,-4.252288871852742,Train
10.3894,10.443526741935994,Train
17.0478,17.143265881021964,Train
7.2324,7.165134543951445,Train
12.628,12.495904612136155,Train
1.0906,0.9044977929706417,Train
13.202,13.275201962186719,Train
-2.583,-2.6382119233855352,Train
-2.1812,-2.165940193323456,Train
5.5104,5.653636343210486,Train
6.888,6.673107672528668,Train
11.9392,11.922151073170289,Train
-18.4254,-18.31093597049595,Train
8.7248,8.77621125630783,Train
14.35,14.14049140097253,Train
-1.0906,-0.8904650451602927,Train
11.2504,11.384102097118028,Train
8.5526,8.508278747653215,Train
6.4288,6.335914486141908,Train
-11.4226,-11.366848683808815,Train
11.8818,11.962597266375461,Train
-11.3078,-11.361078982630652,Train
-2.9274,-2.8995106785779905,Train
3.7884,3.8131491189717743,Train
-1.7794,-1.8417893430733474,Train
17.9662,18.104669033244093,Train
10.1598,10.306238448139517,Train
-0.287,-0.17583342851371328,Train
9.184,9.104855045021724,Train
2.3534,2.3447727190706233,Train
12.1688,12.457820569747339,Train
14.4074,14.357084255891392,Train
11.9392,12.020769572956052,Train
-3.8458,-3.795170527920698,Train
11.767,11.824837110149982,Train
-0.7462,-0.5198167422742337,Train
11.767,11.824837110149982,Train
9.3562,9.305476959521041,Train
1.3776,1.3925161172724645,Train
13.0872,13.259872449722582,Train
13.3168,13.28968039148844,Train
-12.1688,-12.061191995364604,Train
2.8126,2.919810058461808,Train
15.0388,15.096102934107957,Train
-0.0574,-0.08173956928058218,Train
21.1232,21.127149585993333,Train
16.1294,16.207337676955646,Train
-11.8244,-11.752339013423052,Train
-0.287,-0.017751080432433706,Train
2.6978,2.4251483508858835,Train
13.1446,13.063479829886496,Train
-2.1238,-2.363564847416658,Train
-10.1024,-10.119903031944915,Train
12.2262,12.100415366170369,Train
18.5402,18.457719122819682,Train
-3.7884,-3.783396615070041,Train
10.332,10.400151801188292,Train
8.323,8.334861566771952,Train
4.7642,4.750065756605446,Train
12.915,12.768975155801469,Train
2.87,2.876218613339036,Train
-6.3714,-6.348185611860748,Train
-11.5374,-11.517324730806795,Train
7.2898,7.111016511580219,Train
1.7794,1.965151649319615,Train
9.184,9.070361367132968,Train
9.3562,9.305476959521041,Train
1.435,1.7743541605392956,Train
15.211,15.034451933102748,Train
7.5194,7.35398180214587,Train
7.2324,7.10899656261535,Train
14.1204,14.111204111869856,Train
0.861,1.1112159082142938,Train
0.6314,0.720088241836684,Train
-11.8818,-11.754841691838529,Train
-1.148,-1.14292998816555,Train
17.8514,18.042327019631877,Train
8.4378,8.627315651753548,Train
7.749,8.007564633539948,Train
4.8216,4.8487824006894105,Train
8.4378,8.549051070799948,Train
5.5678,5.236390966896571,Train
3.5588,3.459392205648136,Train
12.8576,12.633887571481244,Train
16.933,16.917187134579063,Train
4.0754,3.841786238842227,Train
10.5042,10.4543935424767,Train
10.7338,10.740870954342547,Train
6.7732,6.887150454485319,Train
2.1238,2.203880441215959,Train
2.9274,3.0560374830693795,Train
-3.7884,-3.8676528185461683,Train
-8.2656,-8.289594283844236,Train
13.6038,13.461388981109824,Train
15.6702,15.587025926341752,Train
0.1722,0.10700764806670107,Train
9.5858,9.484838714313806,Train
10.9634,11.169395563852719,Train
2.6978,2.7203155705291877,Train
11.4226,11.227637752628977,Train
16.933,16.917187134579063,Train
9.0118,8.767207842682314,Train
4.5346,4.490423281566812,Train
12.8576,12.85318467802321,Train
