bead_type,heavy_atoms,OCO
CG0,5,16.180695872316935
CG1,3,-1.126181141859374
CG2,2,10.29600222693292
CG3,2,-4.252288871852742
CG4,4,-7.326435885034117
CG5,3,-1.6757797104375334
CG6,4,3.254841699945149
CG7,7,-6.91447300336776
