smiles_1,smiles_2,type,r,k,Unnamed: 5,Unnamed: 6,ring,Unnamed: 8
CCO,CCC,1,0.331,5000,bonds,martini3_small_molecules_repo,BOND_000299,CYPOL
C[NH]C=O,CCC,1,0.33,7500,bonds,martini3_proteins_release,BOND_000301,PRO
C[NH]C=O,CC(C),1,0.292,1000000,bonds,martini3_proteins_release,BOND_000302,VAL
CCC,NC(N)=[NH2+],1,0.38,5000,bonds,martini3_proteins_release,BOND_000304,ARG
CC,CCC,1,0.303,5000,bonds,martini3_small_molecules_repo,BOND_000306,CYPE
CC,CCC,1,0.31,5000,bonds,martini3_small_molecules_repo,BOND_000308,CYPE
CCC,ccc,1,0.31,20000,bonds,martini3_small_molecules_repo,BOND_000309,CUME
COC,CCCC,1,0.261,5000,bonds,martini3_small_molecules_repo,BOND_000312,THF
COC,CCCC,1,0.29,5000,bonds,martini3_small_molecules_repo,BOND_000313,THF
CCCC,CC(C)=O,1,0.3,5000,bonds,martini3_small_molecules_repo,BOND_000314,CYPO
CCCC,CC(C)=O,1,0.321,5000,bonds,martini3_small_molecules_repo,BOND_000315,CYPO
CNC,CCCC,1,0.261,5000,bonds,martini3_small_molecules_repo,BOND_000316,PYLI
CNC,CCCC,1,0.29,5000,bonds,martini3_small_molecules_repo,BOND_000317,PYLI
c1ccccc1,c1ccccc1,1,0.34,1000000,bonds,martini3_proteins_release,BOND_000333,PHE
CSC,CC,1,0.291,5000,bonds,martini3_small_molecules_repo,BOND_000389,THT
CSC,CC,1,0.32,5000,bonds,martini3_small_molecules_repo,BOND_000390,THT
cc,cOC,1,0.364,25000,bonds,martini3_small_molecules_repo,BOND_000409,4NIAN
cOC,COC,1,0.33,17000,bonds,martini3_small_molecules_repo,BOND_000414,TDMBI
cc,cOC,1,0.33,10000,bonds,martini3_small_molecules_repo,BOND_000417,TDMBI
COC,COC,1,0.286,5000,bonds,martini3_small_molecules_repo,BOND_000418,DIOX
COC,COC,1,0.3,5000,bonds,martini3_small_molecules_repo,BOND_000419,DIOX
C[N+](C)C,COC=O,1,0.43,3000,bonds,martini3_ionizable_lipids_repo,BOND_000420,DBDT
C[N+](C)C,COC=O,1,0.35,5000,bonds,martini3_ionizable_lipids_repo,BOND_000425,B1
C[N+](C)C,CO,1,0.37,5000,bonds,martini3_ionizable_lipids_repo,BOND_000426,B1
