smiles_1,smiles_2,smiles_3,r,k,type,Unnamed: 6
CCCCC,COC=O,COC=O,125,20,2,
C[N+](C)C,COC=O,CCCCC,90,20,2,
C[N+](C)C,COC=O,CCCCC,90,25,2,
CCC,CCCC,C=CCC,140,15,2,
CCCC,C[N+](C)C,CCCC,110,40,2,
C,C[N+](C)C,CCCC,115,32,2,
CCCC,C[N+](C)C,CCCC,118.5,15,2,
CCCC,C[N+](C)C,C.CC,130,25,2,
CCCC,CC(=O)O,CCSS,100,15,2,
COC,CC(=O)O,CCCC,120,10,2,
COC,COC=O,C.CC,125,15,2,
C,C[N+](C)C,CCCC,118,15,2,
C,C[N+](C)C,CCCC,115,30,2,
CCCC,C[N+](C)C,C.CC,118.5,15,2,
C,C[N+](C)C,CCCC,118,10,2,
CO,CCCC,C=CCC,150,25,2,
CCO,CCCC,C=CCC,150,25,2,
COC=O,CCCC,C=CCC,180,35,2,
CC(=O)O,CCC,C=CCC,100,25,2,
C=CC,C=CCC,C=CC,100,10,2,
COC=O,C=CC,C=CC,100,10,2,
COC=O,C=CC,C=CCC,100,10,2,
CCCC,CC(=O)O,CC=CCC,120,15,2,
OP(=O)([O-])O,COC=O,C=CC,139.1,31.2,2,
OP(=O)([O-])O,COC=O,COC=O,108,21.5,2,
CO,CCO,C[N+](C)C,120,25,2,
C[NH]C=O,CCC,NC(N)=[NH2+],180,25,2,
C[NH]C=O,CCC,C[NH3+],180,25,2,
C[NH]C=O,c1ccccc1,c1ccccc1,120,50,2,
CNC=O,C[N+](C)C,CNC=O,30,65,2,
CNC=O,C[N+](C)C,CNC=O,50,45,2,
C[NH]C=O,c1ccccc1,c1ccccc1,120,60,2,
C[NH]C=O,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,130,60,2,
C[NH]C=O,c1ncc[nH]1,c1ncc[nH]1,120,50,2,
C[NH]C=O,c1[nH+]cc[nH]1,c1[nH+]cc[nH]1,120,50,2,
C[NH]C=O,c1ccc2[nH]ccc2c1,c1ccc2[nH]ccc2c1,120,60,2,
CC(=O)O,CCC,CCC,100,25,2,
CC(=O)O,CCC,CCC,120,35,2,
CCC,CCC,CCC,125,25,2,
CCC,CCC,CCC,150,25,2,
CC(=O)O,CCC,CCC,100,15,2,
COC=O,CCC,CCC,120,15,2,
COC=O,CCC,CCC,130,15,2,
COC=O,CCC,CCC,130,25,2,
CCC,COC=O,CCC,120,25,2,
C[N+](C)C,COC=O,CCC,140,25,2,
C[N+](C)C,COC=O,CCC,90,25,2,
CC(=O)O,COC=O,CCC,125,35,2,
s,cc,CCC,180,250,2,
CCCC,COC=O,CCC,130,55,2,
CCCC,CO,CCC,90,40,2,
C[N+](C)C,CO,CCC,120,35,2,
C[N+](C)C,CO,CCC,125,55,2,
C[N+](C)C,COC=O,CCC,170,35,2,
C[N+](C)C,COC=O,CCC,170,50,2,
CCCC,COC=O,CCC,130,50,2,
CCCC,CO,CCC,85,50,2,
CCCC,CO,CCC,90,50,2,
CO,COC=O,CCC,75,15,2,
CO,COC=O,CCC,75,30,2,
CO,COC=O,CCC,85,10,2,
CO,COC=O,CCC,85,25,2,
CN,CN,cN(C)C,71,250,2,
